argument,dot,hist,scatter,grid,hex,bar,barBinary,bar2,gg_violin,gg_density,gg_lollipop,gg_boxplot,gg_cumcurve,gg_column,gg_lollipop2,gg_pie,gg_donut,gg_column2,gg_barcode,gg_dotstrip,gg_poppyramid,gg_freqpolygon,gg_barcode2,gg_barcode3,gg_beeswarm,gg_ridgeline,gg_gridplot,gg_quasirandom,gg_divergingstackedbar,gg_multi,gg_multi_col,gg_multi_stack,gg_multi_binary
box.col,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
box.fill,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bar.lwd,,p,,,,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,
bar.col,,p,,,,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,
bar.fill,,p,,,,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,
bar.counts,,,,,,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,
full.height,,,,,,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,
inf.lwd.comp,,,,,,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,
inf.lwd.conf,,,,,,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,
inf.col.comp,p,p,,,,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,
inf.col.conf,p,p,,,,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,
inference.type,p,p,p,p,p,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,
inference.par,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ci.width,pi,pi,pi,pi,pi,pi,pi,pi,,,,,,,,,,,,,,,,,,,,,,,,,
bs.inference,pi,pi,pi,pi,pi,pi,pi,pi,,,,,,,,,,,,,,,,,,,,,,,,,
min.count,,,,,,psi,psi,psi,,,,,,,,,,,,,,,,,,,,,,,,,
n.boot,pi,pi,pi,pi,pi,pi,pi,pi,,,,,,,,,,,,,,,,,,,,,,,,,
largesample,p,p,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scatter.grid.bins,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
